image_path,prompt,attractiveness,image_reward,pick_score,hps
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\31_attractive.jpg,a portrait photo of a face,2.0,1.2192248106002808,21.844053268432617,0.282470703125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\31_normal.jpg,a portrait photo of a face,1.0,0.761449933052063,20.969573974609375,0.241943359375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\31_unattractive.jpg,a portrait photo of a face,0.0,0.6611002087593079,21.177236557006836,0.24609375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\32_attractive.jpg,a portrait photo of a face,2.0,0.9710062742233276,21.68596076965332,0.286865234375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\32_normal.jpg,a portrait photo of a face,1.0,1.0198172330856323,20.538042068481445,0.2445068359375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\32_unattractive.jpg,a portrait photo of a face,0.0,1.0033527612686157,20.033485412597656,0.24365234375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\33_attractive.jpg,a portrait photo of a face,2.0,-0.6940197944641113,20.134889602661133,0.222900390625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\33_normal.jpg,a portrait photo of a face,1.0,-0.8196145296096802,19.384429931640625,0.211669921875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\33_unattractive.jpg,a portrait photo of a face,0.0,-0.5676702260971069,19.5885009765625,0.2177734375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\34_attractive.jpg,a portrait photo of a face,2.0,-0.1962219476699829,21.341012954711914,0.27685546875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\34_normal.jpg,a portrait photo of a face,1.0,1.087794542312622,20.71110725402832,0.269775390625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\34_unattractive.jpg,a portrait photo of a face,0.0,1.0827068090438843,20.680925369262695,0.274658203125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\35_attractive.jpg,a portrait photo of a face,2.0,1.2397475242614746,20.7464656829834,0.301025390625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\35_normal.jpg,a portrait photo of a face,1.0,1.3055700063705444,20.664270401000977,0.264404296875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\35_unattractive.jpg,a portrait photo of a face,0.0,1.3587982654571533,21.053668975830078,0.27587890625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\36_attractive.jpg,a portrait photo of a face,2.0,1.686336874961853,22.658212661743164,0.31640625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\36_normal.jpg,a portrait photo of a face,1.0,0.7873530387878418,20.49327278137207,0.2279052734375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\36_unattractive.jpg,a portrait photo of a face,0.0,1.630384922027588,21.857006072998047,0.291259765625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\37_attractive.jpg,a portrait photo of a face,2.0,-0.924757182598114,20.40396499633789,0.260009765625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\37_normal.jpg,a portrait photo of a face,1.0,0.2970533072948456,21.087902069091797,0.25341796875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\37_unattractive.jpg,a portrait photo of a face,0.0,-0.7420815825462341,20.173246383666992,0.2308349609375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\38_attractive.jpg,a portrait photo of a face,2.0,0.5982012748718262,21.389192581176758,0.28076171875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\38_normal.jpg,a portrait photo of a face,1.0,0.2602604627609253,20.66542625427246,0.25439453125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\38_unattractive.jpg,a portrait photo of a face,0.0,1.3871859312057495,22.06833267211914,0.30078125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\39_attractive.jpg,a portrait photo of a face,2.0,-0.4448714852333069,19.649581909179688,0.2337646484375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\39_normal.jpg,a portrait photo of a face,1.0,0.18152007460594177,19.88457679748535,0.2142333984375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\39_unattractive.jpg,a portrait photo of a face,0.0,0.19391436874866486,19.80508041381836,0.2213134765625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\3_attractive.jpg,a portrait photo of a face,2.0,0.7296669483184814,19.98598861694336,0.21728515625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\3_normal.jpg,a portrait photo of a face,1.0,1.0573514699935913,19.734786987304688,0.2039794921875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\3_unattractive.jpg,a portrait photo of a face,0.0,1.4308017492294312,19.82290267944336,0.2294921875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\40_attractive.jpg,a portrait photo of a face,2.0,0.6359314918518066,21.13262939453125,0.302490234375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\40_normal.jpg,a portrait photo of a face,1.0,0.3879534900188446,20.590534210205078,0.2470703125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\40_unattractive.jpg,a portrait photo of a face,0.0,1.2170087099075317,20.677471160888672,0.249755859375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\41_attractive.jpg,a portrait photo of a face,2.0,1.464416742324829,22.134260177612305,0.287841796875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\41_normal.jpg,a portrait photo of a face,1.0,1.3093198537826538,21.2697811126709,0.264404296875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\41_unattractive.jpg,a portrait photo of a face,0.0,1.4364538192749023,21.629655838012695,0.2734375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\42_attractive.jpg,a portrait photo of a face,2.0,1.4061306715011597,21.680097579956055,0.27783203125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\42_normal.jpg,a portrait photo of a face,1.0,1.0913492441177368,21.295263290405273,0.244384765625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\42_unattractive.jpg,a portrait photo of a face,0.0,1.269558310508728,21.57134246826172,0.259033203125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\43_attractive.jpg,a portrait photo of a face,2.0,1.461498498916626,21.81191635131836,0.30029296875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\43_normal.jpg,a portrait photo of a face,1.0,1.5078788995742798,20.694019317626953,0.25830078125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\43_unattractive.jpg,a portrait photo of a face,0.0,1.5951387882232666,20.872425079345703,0.2822265625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\44_attractive.jpg,a portrait photo of a face,2.0,0.40798187255859375,21.614376068115234,0.286865234375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\44_normal.jpg,a portrait photo of a face,1.0,1.2633867263793945,20.808073043823242,0.239013671875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\44_unattractive.jpg,a portrait photo of a face,0.0,0.8651142120361328,20.636709213256836,0.2437744140625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_image_sdxl\\45_attractive.jpg,a portrait photo of a face,2.0,1.5475903749465942,22.369585037231445,0.319091796875
