image_path,prompt,attractiveness,clip_score,aesthetic,image_reward,pick_score,hps
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\20_unattractive.jpg,a portrait photo of a face,0.0,31.486812591552734,5.8456130027771,1.5385470390319824,21.503849029541016,0.2939453125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\21_attractive.jpg,a portrait photo of a face,2.0,26.703340530395508,6.317600250244141,1.1886614561080933,22.23621940612793,0.31787109375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\21_normal.jpg,a portrait photo of a face,1.0,29.06978988647461,5.889116287231445,1.6455023288726807,22.244686126708984,0.30859375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\21_unattractive.jpg,a portrait photo of a face,0.0,30.76087188720703,5.73768424987793,1.5377575159072876,21.805479049682617,0.29541015625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\22_attractive.jpg,a portrait photo of a face,2.0,29.533390045166016,6.416646957397461,1.226875901222229,22.670318603515625,0.32861328125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\22_normal.jpg,a portrait photo of a face,1.0,30.04222297668457,5.783021926879883,1.4614696502685547,22.408123016357422,0.32568359375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\22_unattractive.jpg,a portrait photo of a face,0.0,27.559104919433594,5.8694305419921875,1.617531657218933,20.74834442138672,0.3076171875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\23_attractive.jpg,a portrait photo of a face,2.0,28.59014892578125,6.4345173835754395,1.3164368867874146,22.442777633666992,0.318603515625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\23_normal.jpg,a portrait photo of a face,1.0,29.62145233154297,5.800925254821777,1.7092078924179077,21.70969009399414,0.310791015625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\23_unattractive.jpg,a portrait photo of a face,0.0,27.4177188873291,5.914468765258789,1.3848334550857544,20.733028411865234,0.322021484375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\24_attractive.jpg,a portrait photo of a face,2.0,28.49872398376465,6.089517593383789,1.1599539518356323,22.671995162963867,0.315185546875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\24_normal.jpg,a portrait photo of a face,1.0,29.448955535888672,6.22580623626709,1.3301841020584106,22.181337356567383,0.328125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\24_unattractive.jpg,a portrait photo of a face,0.0,30.37561798095703,4.835107803344727,1.2813280820846558,21.484426498413086,0.310791015625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\25_attractive.jpg,a portrait photo of a face,2.0,27.496082305908203,5.750210762023926,0.7672746181488037,22.310693740844727,0.30615234375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\25_normal.jpg,a portrait photo of a face,1.0,27.557676315307617,5.735783576965332,0.8925153613090515,22.31805992126465,0.306640625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\25_unattractive.jpg,a portrait photo of a face,0.0,29.958763122558594,5.3140716552734375,1.3892292976379395,21.79047966003418,0.3193359375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\26_attractive.jpg,a portrait photo of a face,2.0,28.761764526367188,6.18577766418457,1.221637487411499,22.640714645385742,0.319580078125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\26_normal.jpg,a portrait photo of a face,1.0,29.663330078125,5.893500328063965,1.576515793800354,22.640865325927734,0.327880859375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\26_unattractive.jpg,a portrait photo of a face,0.0,26.24533462524414,5.589341163635254,1.3516205549240112,20.368505477905273,0.317626953125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\27_attractive.jpg,a portrait photo of a face,2.0,28.09365463256836,6.192324638366699,1.1731866598129272,22.228809356689453,0.31884765625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\27_normal.jpg,a portrait photo of a face,1.0,29.573116302490234,5.447911739349365,1.2873255014419556,22.92848777770996,0.332763671875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\27_unattractive.jpg,a portrait photo of a face,0.0,30.667030334472656,5.608901023864746,1.577676773071289,21.83934211730957,0.306396484375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\28_attractive.jpg,a portrait photo of a face,2.0,29.68452262878418,6.3642778396606445,1.4164533615112305,22.5116024017334,0.327392578125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\28_normal.jpg,a portrait photo of a face,1.0,31.044113159179688,5.894878387451172,1.2313820123672485,22.032197952270508,0.317138671875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\28_unattractive.jpg,a portrait photo of a face,0.0,31.336711883544922,5.558221817016602,1.1772935390472412,21.397052764892578,0.30419921875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\29_attractive.jpg,a portrait photo of a face,2.0,27.904996871948242,6.423946380615234,1.3409773111343384,22.747407913208008,0.3193359375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\29_normal.jpg,a portrait photo of a face,1.0,28.41295623779297,6.226605415344238,1.2517695426940918,22.33626365661621,0.315185546875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\29_unattractive.jpg,a portrait photo of a face,0.0,30.234289169311523,5.823243141174316,1.1915552616119385,21.72410011291504,0.290283203125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\2_attractive.jpg,a portrait photo of a face,2.0,28.130016326904297,6.571596622467041,1.0779439210891724,22.624454498291016,0.331298828125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\2_normal.jpg,a portrait photo of a face,1.0,28.70686912536621,5.758672714233398,1.5385414361953735,22.489036560058594,0.33203125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\2_unattractive.jpg,a portrait photo of a face,0.0,29.917165756225586,5.605337619781494,0.9319327473640442,20.993213653564453,0.280517578125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\30_attractive.jpg,a portrait photo of a face,2.0,29.291492462158203,6.2800445556640625,1.3142244815826416,22.592077255249023,0.3310546875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\30_normal.jpg,a portrait photo of a face,1.0,29.25198745727539,5.754813194274902,1.0154919624328613,21.77412223815918,0.3291015625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\30_unattractive.jpg,a portrait photo of a face,0.0,31.735218048095703,5.958749294281006,0.6008992195129395,21.95519256591797,0.3056640625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\31_attractive.jpg,a portrait photo of a face,2.0,27.18219757080078,5.920130729675293,0.7988040447235107,22.557754516601562,0.312744140625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\31_normal.jpg,a portrait photo of a face,1.0,28.991512298583984,6.301855087280273,1.241388201713562,22.162588119506836,0.32373046875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\31_unattractive.jpg,a portrait photo of a face,0.0,31.69746971130371,5.481073379516602,1.3903834819793701,22.065181732177734,0.314697265625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\32_attractive.jpg,a portrait photo of a face,2.0,28.85388946533203,6.149336338043213,1.0593918561935425,22.312376022338867,0.326904296875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\32_normal.jpg,a portrait photo of a face,1.0,29.31155014038086,5.856441497802734,1.0706738233566284,21.351856231689453,0.31103515625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\32_unattractive.jpg,a portrait photo of a face,0.0,26.900226593017578,6.142372131347656,1.5866044759750366,19.933412551879883,0.3046875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\33_attractive.jpg,a portrait photo of a face,2.0,26.539766311645508,5.857354640960693,0.8523527383804321,22.568214416503906,0.31298828125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\33_normal.jpg,a portrait photo of a face,1.0,28.764379501342773,5.7993245124816895,1.1128907203674316,23.022703170776367,0.319580078125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\33_unattractive.jpg,a portrait photo of a face,0.0,30.791545867919922,5.624791145324707,1.582834005355835,21.156145095825195,0.3037109375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\34_attractive.jpg,a portrait photo of a face,2.0,29.104488372802734,6.449389457702637,0.8680441975593567,22.214052200317383,0.318115234375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\34_normal.jpg,a portrait photo of a face,1.0,29.10796356201172,5.611349582672119,1.394666314125061,21.74817657470703,0.32470703125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\34_unattractive.jpg,a portrait photo of a face,0.0,30.831918716430664,5.953474998474121,1.309572696685791,20.8073673248291,0.304931640625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\35_attractive.jpg,a portrait photo of a face,2.0,29.254575729370117,6.151991844177246,1.2074308395385742,22.779598236083984,0.33349609375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\35_normal.jpg,a portrait photo of a face,1.0,30.371028900146484,6.378535270690918,1.392138957977295,22.565908432006836,0.336669921875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\35_unattractive.jpg,a portrait photo of a face,0.0,30.818870544433594,5.920468807220459,1.520540714263916,21.513805389404297,0.312255859375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\36_attractive.jpg,a portrait photo of a face,2.0,29.38297462463379,5.805984973907471,0.7510907649993896,22.96000862121582,0.32080078125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\36_normal.jpg,a portrait photo of a face,1.0,29.556455612182617,6.310241222381592,0.6498786211013794,22.051000595092773,0.302001953125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\36_unattractive.jpg,a portrait photo of a face,0.0,31.109451293945312,5.898521423339844,1.3625314235687256,21.33001708984375,0.29345703125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\37_attractive.jpg,a portrait photo of a face,2.0,28.57868003845215,6.537125587463379,1.2761839628219604,22.973602294921875,0.332275390625
